x,y,r,g,b,line,col,level
66,45,232,122,104,0,0,0
73,45,188,145,107,0,0,1
84,49,232,173,108,0,0,2
95,52,221,133,74,0,0,3
127,52,178,107,52,0,1,0
133,55,109,70,66,0,1,1
142,53,207,105,82,0,1,2
149,51,211,171,132,0,1,3
185,53,98,113,124,0,2,0
193,54,237,187,127,0,2,1
203,51,58,68,76,0,2,2
212,52,229,136,55,0,2,3
247,48,162,52,54,0,3,0
254,50,94,63,45,0,3,1
264,52,224,137,60,0,3,2
274,54,126,65,41,0,3,3
309,54,213,195,156,0,4,0
320,56,106,60,72,0,4,1
327,55,244,188,124,0,4,2
335,56,206,140,81,0,4,3
366,53,222,108,82,0,5,0
373,58,66,52,44,0,5,1
380,57,207,129,56,0,5,2
389,55,201,176,132,0,5,3
425,51,165,128,101,0,6,0
435,55,142,55,52,0,6,1
444,52,229,185,138,0,6,2
452,52,242,159,107,0,6,3
489,54,225,174,109,0,7,0
495,50,101,64,65,0,7,1
504,52,203,185,143,0,7,2
512,52,220,139,57,0,7,3
546,50,79,93,103,0,8,0
553,54,221,103,99,0,8,1
561,53,99,66,38,0,8,2
568,52,201,136,81,0,8,3
600,51,170,52,57,0,9,0
609,53,205,193,160,0,9,1
617,46,108,67,68,0,9,2
625,47,240,184,117,0,9,3
657,45,95,64,44,0,10,0
665,44,223,136,59,0,10,1
677,46,90,99,113,0,10,2
684,43,246,206,163,0,10,3
720,50,93,57,57,0,11,0
728,45,244,188,136,0,11,1
737,40,227,103,89,0,11,2
748,42,67,70,78,0,11,3
786,48,180,108,50,0,12,0
794,46,102,58,57,0,12,1
802,36,221,136,61,0,12,2
809,32,57,54,50,0,12,3
846,34,152,45,51,0,13,0
853,34,93,66,44,0,13,1
862,34,204,125,58,0,13,2
870,32,73,74,85,0,13,3
906,36,204,126,62,0,14,0
914,38,130,95,84,0,14,1
924,31,129,56,50,0,14,2
931,34,97,75,51,0,14,3
1015,51,105,74,49,0,15,0
974,36,96,60,66,0,15,1
982,35,204,103,88,0,15,2
991,33,149,109,89,0,15,3
1023,38,167,58,56,0,16,0
1029,40,70,65,81,0,16,1
1039,38,227,168,105,0,16,2
1049,36,236,146,88,0,16,3
1111,60,74,58,56,0,17,0
1107,53,215,125,94,0,17,1
1107,47,89,97,101,0,17,2
1109,39,165,100,45,0,17,3
1164,62,207,131,65,0,18,0
1148,48,159,126,103,0,18,1
1159,44,159,51,62,0,18,2
1165,42,94,62,47,0,18,3
1202,63,93,68,47,0,19,0
1205,50,102,57,63,0,19,1
1216,49,232,139,112,0,19,2
1227,47,144,110,94,0,19,3
106,117,160,59,66,1,0,0
100,110,73,60,55,1,0,1
85,101,225,164,104,1,0,2
94,96,98,105,117,1,0,3
131,91,153,124,95,1,1,0
140,92,219,131,56,1,1,1
149,97,55,55,51,1,1,2
158,98,225,113,96,1,1,3
191,97,218,101,89,1,2,0
197,98,197,180,138,1,2,1
206,99,105,69,61,1,2,2
216,100,207,135,73,1,2,3
